Race,Lap,Position,Overtaker,Overtakee,Live,Turn
Abu Dhabi,26,9,Leclerc,Alonso,Yes,8
Abu Dhabi,27,10,Perez,Magnussen,,
Abu Dhabi,30,11,Grosjean,Vandoorne,Yes,8
Abu Dhabi,30,11,Vandoorne,Grosjean,Yes,11
Abu Dhabi,30,12,Ocon,Grosjean,Yes,11
Abu Dhabi,31,15,Gasly,Sirotkin,,
Abu Dhabi,32,12,Grosjean,Vandoorne,Yes,8
Abu Dhabi,32,16,Alonso,Sirotkin,Yes,8
Abu Dhabi,33,14,Gasly,Hartley,,
Abu Dhabi,34,13,Gasly,Vandoorne,Yes,8
Abu Dhabi,34,13,Vandoorne,Gasly,Yes,11
Abu Dhabi,34,15,Alonso,Hartley,,11
Abu Dhabi,35,2,Vettel,Bottas,Yes,11
Abu Dhabi,35,13,Gasly,Vandoorne,,
Abu Dhabi,38,3,Verstappen,Bottas,Yes,12
Abu Dhabi,38,10,Ocon,Stroll,,
Abu Dhabi,39,4,Ricciardo,Bottas,Yes,8
